clf,metric,group,base,iter_0,iter_1,iter_2,iter_3,iter_4
GB_base,FP,g0,0.07195238095238096,0.07995238095238096,0.09661904761904762,0.08028571428571428,0.09814285714285714,0.08147619047619047
GB_base,FP,g1,0.21897187816890504,0.22953765437078505,0.24625248232975516,0.2377076463002769,0.23191234847030465,0.22822943573387286
GB_base,FN,g0,0.21053113553113553,0.21053113553113553,0.17124542124542125,0.18553113553113554,0.18553113553113554,0.19624542124542124
GB_base,FN,g1,0.12368679717563028,0.13093261095540734,0.1024447489869718,0.11202303767917617,0.11139685857804002,0.12412955376415136
GB_base,roc,g0,0.9468283621140765,0.9450743066457352,0.9487100994243851,0.9487547095761381,0.9477457482993197,0.9424501569858712
GB_base,roc,g1,0.909752476616821,0.908339736509838,0.9080114755845671,0.9093953376892564,0.9085158676994348,0.9097122675615491
LG_base,FP,g0,0.07876190476190476,0.08742857142857142,0.07842857142857143,0.07195238095238096,0.07042857142857142,0.07042857142857142
LG_base,FP,g1,0.23313472742308522,0.25313862998979353,0.2320362853260848,0.23216421851793712,0.21545047450840066,0.22728500386648226
LG_base,FN,g0,0.21234432234432235,0.21014652014652016,0.21234432234432235,0.22553113553113552,0.2516300366300367,0.22553113553113552
LG_base,FN,g1,0.13190230144141865,0.1241828205786842,0.14421781436483433,0.141951534545363,0.14519306699496998,0.14277300368750084
LG_base,roc,g0,0.942278453689168,0.9236976867670146,0.9467435397235817,0.9482338589281867,0.9405238095238093,0.9440050520208084
LG_base,roc,g1,0.8999569826907046,0.894658382252952,0.8978845514274776,0.8984620228157848,0.8989510437396604,0.8990011678679977
GB_equal,FP,g0,0.08219327731092436,0.08980952380952381,0.11571708683473389,0.07042857142857142,0.14190756302521007,0.0997170868347339
GB_equal,FP,g1,0.22125334320095683,0.23553059914379676,0.24631372274817237,0.2726962406477947,0.2655569861087009,0.23441680358857403
GB_equal,FN,g0,0.17829670329670327,0.1866300366300366,0.13901098901098902,0.26282051282051283,0.12362637362637363,0.20201465201465202
GB_equal,FN,g1,0.13250017782461287,0.13100680863268416,0.11254749299714277,0.11165497219547701,0.11138169533504541,0.11538830936181273
GB_equal,roc,g0,0.9434169437005572,0.9384557823129251,0.9328472158094009,0.9048434720041862,0.9358109282174409,0.936028453689168
GB_equal,roc,g1,0.9029024408029963,0.900050092185786,0.8996515014316186,0.8978945854463962,0.9026723671069814,0.9076663578914129
LG_equal,FP,g0,0.12405042016806722,0.12405042016806722,0.12405042016806722,0.12405042016806722,0.12405042016806722,0.12405042016806722
LG_equal,FP,g1,0.3123548634920227,0.3052362993308946,0.3064339041213137,0.30405982874265924,0.3064339041213137,0.3052362993308946
LG_equal,FN,g0,0.20201465201465202,0.21739926739926743,0.21739926739926743,0.2577838827838828,0.21739926739926743,0.2577838827838828
LG_equal,FN,g1,0.1401394054384011,0.15863902814510716,0.15535187819977037,0.16510013432671025,0.15752579124324864,0.1673728615994375
LG_equal,roc,g0,0.9266880867731707,0.927986490750146,0.9262645519746359,0.9266782751562163,0.9252752139317264,0.927410875888817
LG_equal,roc,g1,0.8648573551896552,0.862499488004161,0.8622318262074046,0.8613989749880366,0.8625439674835518,0.8600395353956488
LR_0.2,FP,g0,0.10805042016806723,0.17214285714285715,0.10805042016806723,0.25976190476190475,0.09628571428571428,0.14152380952380955
LR_0.2,FP,g1,0.2795179737681142,0.39075823644796903,0.28807646119582325,0.42379344244769823,0.26643212006217143,0.3263562834897572
LR_0.2,FN,g0,0.19329670329670331,0.15291208791208794,0.16053113553113552,0.10895604395604397,0.21591575091575094,0.1397252747252747
LR_0.2,FN,g1,0.12761716401302764,0.07446904907787688,0.12166949946519127,0.08289121176460941,0.1321369426866982,0.10622302905968825
LR_0.2,roc,g0,0.8493264382676149,0.8374725274725275,0.8657092221503987,0.8156410256410256,0.8438992673992673,0.8593754578754579
LR_0.2,roc,g1,0.7964324311094291,0.767386357237077,0.7951270196694926,0.7466576728938461,0.8007154686255651,0.7837103437252774
LR_0.1,FP,g0,0.10805042016806723,0.17214285714285715,0.10805042016806723,0.25976190476190475,0.09628571428571428,0.14152380952380955
LR_0.1,FP,g1,0.2795179737681142,0.39075823644796903,0.28807646119582325,0.42379344244769823,0.26643212006217143,0.3263562834897572
LR_0.1,FN,g0,0.19329670329670331,0.15291208791208794,0.16053113553113552,0.10895604395604397,0.21591575091575094,0.1397252747252747
LR_0.1,FN,g1,0.12761716401302764,0.07446904907787688,0.12166949946519127,0.08289121176460941,0.1321369426866982,0.10622302905968825
LR_0.1,roc,g0,0.8493264382676149,0.8374725274725275,0.8657092221503987,0.8156410256410256,0.8438992673992673,0.8593754578754579
LR_0.1,roc,g1,0.7964324311094291,0.767386357237077,0.7951270196694926,0.7466576728938461,0.8007154686255651,0.7837103437252774
LR_0.01,FP,g0,0.10805042016806723,0.14476190476190473,0.08676190476190475,0.25976190476190475,0.08795238095238096,0.06276190476190475
LR_0.01,FP,g1,0.2795179737681142,0.3607748532641871,0.26313810261885956,0.4206827744516863,0.2510662416495052,0.27943372816316786
LR_0.01,FN,g0,0.19329670329670331,0.2086813186813187,0.23130036630036632,0.10895604395604397,0.29091575091575095,0.17305860805860804
LR_0.01,FN,g1,0.12761716401302764,0.09123672584555365,0.14085317293457905,0.07410797119565456,0.15223537599941722,0.12766186521142248
LR_0.01,roc,g0,0.8493264382676149,0.8450503663003663,0.8660195001077355,0.8093910256410256,0.8313992673992674,0.9022362637362636
LR_0.01,roc,g1,0.7964324311094291,0.7970661033522669,0.8198756113217224,0.7643374212184455,0.8140288880379065,0.8389164919401606
DT_0.2,FP,g0,0.2857282913165266,0.24605602240896357,0.2106750700280112,0.14724649859943978,0.15976470588235295,0.13567787114845936
DT_0.2,FP,g1,0.44595926060297675,0.4659912420591195,0.41009551107201164,0.4313637455977523,0.39055788183281115,0.4091376683982634
DT_0.2,FN,g0,0.063003663003663,0.10824175824175826,0.13305860805860806,0.306959706959707,0.07371794871794872,0.2467765567765568
DT_0.2,FN,g1,0.1009535461088256,0.06253068261195657,0.0540653557417136,0.08089126220386958,0.06276122626327463,0.07461276950440424
DT_0.2,roc,g0,0.8672520700587928,0.8780435539600455,0.9301866881367932,0.8755919964139502,0.9283593495090343,0.8874038653923109
DT_0.2,roc,g1,0.8383157608846681,0.8249526809478306,0.8603124998423508,0.836084302456967,0.8508489758281979,0.8345922233672913
DT_0.1,FP,g0,0.17695518207282915,0.37919607843137254,0.18205042016806722,0.18495518207282913,0.2598179271708683,0.34005042016806725
DT_0.1,FP,g1,0.3767316134597783,0.49566563339235936,0.35345225093434185,0.37648477430635036,0.43231682656642756,0.5247729072643507
DT_0.1,FN,g0,0.17115384615384616,0.089010989010989,0.1487179487179487,0.08434065934065935,0.11401098901098901,0.04285714285714286
DT_0.1,FN,g1,0.10677994666596491,0.05412178192275985,0.1059932667878353,0.07087075468765702,0.06798155572603834,0.06525566411915032
DT_0.1,roc,g0,0.8937598443223443,0.8754867600886508,0.9032920341213408,0.9283515733216363,0.8888187948256225,0.9242438898636378
DT_0.1,roc,g1,0.8348873601414109,0.8406665083134512,0.8460893203765725,0.8579488408639004,0.8438870316513544,0.8412952727498922
DT_0.01,FP,g0,0.1727170868347339,0.3070588235294117,0.18735574229691876,0.4313977591036415,0.21986274509803921,0.34628571428571425
DT_0.01,FP,g1,0.4335525933518537,0.46512308086703724,0.40777438513011965,0.7103796206921993,0.3961340412697977,0.48917190014476464
DT_0.01,FN,g0,0.05576923076923077,0.2304945054945055,0.37408424908424903,0.10192307692307692,0.13681318681318683,0.10338827838827838
DT_0.01,FN,g1,0.05699287328532736,0.08774134137157794,0.08682754931367327,0.03424533141263682,0.06385037102890942,0.07576701333408087
DT_0.01,roc,g0,0.9346573186967095,0.8467863029827315,0.9000885950534059,0.8440107004340197,0.8738488972512082,0.8715620844491644
DT_0.01,roc,g1,0.8602919162970668,0.8185736297320527,0.8578665642569107,0.8028208526883167,0.8445151853868147,0.8286171384949984
