clf,metric,group,base,iter_0,iter_1,iter_2,iter_3,iter_4
GB_base,FP,g0,0.43080962515745125,0.7589862311601442,0.4853824436433132,0.6888250879555227,0.4853581201407288,0.6859566520436086
GB_base,FP,g1,0.44763071895424833,0.5811348781937017,0.5497994652406417,0.43868835412953056,0.5477792632204397,0.43010249554367197
GB_base,FN,g0,0.4700326797385621,0.1449346405228758,0.40281045751633987,0.22630718954248366,0.323921568627451,0.27751633986928104
GB_base,FN,g1,0.2821755630723538,0.16918158567774938,0.23562824849434866,0.22427467480680913,0.2401163270357231,0.24204686082006438
GB_base,roc,g0,0.6016122483654452,0.5301154809952764,0.5821240510697032,0.5471056396714965,0.6105910386856678,0.5589874378250337
GB_base,roc,g1,0.6943214943761516,0.6586639432856741,0.6845638132000644,0.6714434065096139,0.6935967941938983,0.6738160521975802
LG_base,FP,g0,0.6752143508665247,0.4823437432133084,0.7800625461495027,0.6527224948964079,0.5636424445120097,0.6980033010467792
LG_base,FP,g1,0.5517379679144385,0.45811051693404636,0.5642379679144385,0.6045157456922163,0.5116458704693998,0.5767379679144385
LG_base,FN,g0,0.2530718954248366,0.39532679738562093,0.15287581699346403,0.32140522875816996,0.30709150326797385,0.25454248366013077
LG_base,FN,g1,0.21317410554684707,0.30253829442015234,0.18360421307372876,0.26085994004895086,0.23622225888953058,0.22035035613123227
LG_base,roc,g0,0.6346444500370331,0.5980510555088561,0.6287876109397847,0.60523564542874,0.6123517810691724,0.6166591429315215
LG_base,roc,g1,0.665959133451502,0.6264580880165403,0.6669653698106383,0.6531469925723701,0.6287808057474339,0.6468668410030509
GB_equal,FP,g0,0.38223255005863704,0.6900421317812622,0.5241063284541545,0.6417764843851801,0.6191156669417539,0.5899413629848412
GB_equal,FP,g1,0.4315730837789661,0.48325906120023765,0.5009358288770054,0.48033273915626856,0.5066844919786095,0.4662136066547832
GB_equal,FN,g0,0.46382352941176463,0.28049019607843134,0.38078431372549015,0.32084967320261437,0.2521568627450981,0.34787581699346404
GB_equal,FN,g1,0.2476734592855375,0.24868135192365867,0.2981478425872453,0.28758628275994835,0.23173418034815607,0.23559524791683856
GB_equal,roc,g0,0.6052481154821308,0.4972771261844152,0.5747165738495662,0.5667830297721601,0.5721577834640494,0.5592158585943752
GB_equal,roc,g1,0.6968937893913144,0.6843225485612665,0.6852505752183996,0.6251360857148334,0.6811425033271417,0.6853807754135698
LG_equal,FP,g0,0.8591304347826088,0.9391304347826086,1.0,0.8591304347826088,0.9391304347826086,1.0
LG_equal,FP,g1,0.8875,0.925,1.0,0.8875,0.925,1.0
