clf,metric,group,base,iter_0,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22,iter_23,iter_24,iter_25,iter_26,iter_27,iter_28,iter_29
LR_0.1,FP,g0,0.06085395051875499,0.11630420324554402,0.10197193402500665,0.09322625698324022,0.08448057994147379,0.08168728385208832,0.07591779728651236,0.07591779728651236,0.07871109337589785,0.07871109337589785,0.07871109337589785,0.07573490289970737,0.07573490289970737,0.07852819898909284,0.07573490289970737,0.07573490289970737,0.07573490289970737,0.07573490289970737,0.07573490289970737,0.07573490289970737,0.07275871242351689,0.07275871242351689,0.07275871242351689,0.07275871242351689,0.07275871242351689,0.07275871242351689,0.07573490289970737,0.06680633147113593,0.07275871242351689,0.07275871242351689,0.07275871242351689
LR_0.1,FP,g1,0.31415694591728527,0.449010250972075,0.3784022622834924,0.36165606221279606,0.35622127960410044,0.35078649699540476,0.3489749027925062,0.3489749027925062,0.3453517143867091,0.3415075998586073,0.33969600565570873,0.3378844114528102,0.3378844114528102,0.3399169317780134,0.3399169317780134,0.3399169317780134,0.3399169317780134,0.3399169317780134,0.3399169317780134,0.3399169317780134,0.3399169317780134,0.3399169317780134,0.3399169317780134,0.3399169317780134,0.3399169317780134,0.3399169317780134,0.33585189112760694,0.3399169317780134,0.3399169317780134,0.3399169317780134,0.3399169317780134
LR_0.1,FN,g0,0.5335844318895167,0.4795982423101067,0.4981167608286252,0.5166352793471437,0.5166352793471437,0.5166352793471437,0.5166352793471437,0.5166352793471437,0.5166352793471437,0.5251098556183302,0.5251098556183302,0.5251098556183302,0.5251098556183302,0.5251098556183302,0.5251098556183302,0.5251098556183302,0.5343691148775895,0.5343691148775895,0.5343691148775895,0.5343691148775895,0.5343691148775895,0.5343691148775895,0.5343691148775895,0.5343691148775895,0.5343691148775895,0.5343691148775895,0.5343691148775895,0.542843691148776,0.5343691148775895,0.5343691148775895,0.5343691148775895
LR_0.1,FN,g1,0.1487286600552461,0.09709391839876828,0.1332218222161844,0.14295498799981887,0.14641919123307523,0.1500956618213105,0.15125039623239594,0.15132115201738894,0.1548561110356383,0.15608160123171672,0.15608160123171672,0.15608160123171672,0.15608160123171672,0.15723633564280215,0.15608160123171672,0.15608160123171672,0.15608160123171672,0.15608160123171672,0.15608160123171672,0.15608160123171672,0.15608160123171672,0.1548561110356383,0.15370137662455283,0.15370137662455283,0.15370137662455283,0.15370137662455283,0.15363062083955986,0.1487994158402391,0.15370137662455283,0.15370137662455283,0.15363062083955986
LR_0.1,roc,g0,0.7027808087958642,0.7020487772221746,0.699955652573184,0.695069231834808,0.6994420703556912,0.7008387184003839,0.7037234616831719,0.7037234616831719,0.7023268136384792,0.6980895255028859,0.6980895255028859,0.6995776207409812,0.6995776207409812,0.6981809726962884,0.6995776207409812,0.6995776207409812,0.6949479911113515,0.6949479911113515,0.6949479911113515,0.6949479911113515,0.6964360863494468,0.6964360863494468,0.6964360863494468,0.6964360863494468,0.6964360863494468,0.6964360863494468,0.6949479911113515,0.695174988690044,0.6964360863494468,0.6964360863494468,0.6964360863494468
LR_0.1,roc,g1,0.7685571970137344,0.7269479153145784,0.7441879577501616,0.7476944748936925,0.7486797645814123,0.7495589205916424,0.749887350487549,0.7498519725950524,0.7498960872888263,0.751205399454838,0.7521111965562873,0.7530169936577367,0.7530169936577367,0.7514233662895922,0.752000733495135,0.752000733495135,0.752000733495135,0.752000733495135,0.752000733495135,0.752000733495135,0.752000733495135,0.7526134785931742,0.7531908457987169,0.7531908457987169,0.7531908457987169,0.7531908457987169,0.7552587440164167,0.7556418261908737,0.7531908457987169,0.7531908457987169,0.7532262236912134
DT_0.1,FP,g0,0.24080540037243947,0.2568335993615323,0.1902101622772014,0.176060787443469,0.19373503591380686,0.17047419526469806,0.18201316839584997,0.18128159084862994,0.18498935887204043,0.17903697791965947,0.18498935887204043,0.17903697791965947,0.18164737962223998,0.17921987230646447,0.1794027666932695,0.18517225325884545,0.17921987230646447,0.17885408353285448,0.17047419526469806,0.17903697791965947,0.17921987230646447,0.18201316839584997,0.17326749135408354,0.19987031125299282,0.19689412077680235,0.2032122905027933,0.18311053471667998,0.177158153764299,0.18329342910348495,0.18329342910348495,0.1888800212822559
DT_0.1,FP,g1,0.40411806291975966,0.45585896076352067,0.36426299045599153,0.3737628137150937,0.35798868858253796,0.3552492046659597,0.34937256981265463,0.38145104277129727,0.39276246023329797,0.3871067515022977,0.3830417108518911,0.37513255567338283,0.3796394485683987,0.3753534817956875,0.3760162601626016,0.3882555673382821,0.3704047366560622,0.37287910922587486,0.3676652527394839,0.3694768469423825,0.36859314245316366,0.3832626369741958,0.3830417108518911,0.374248851184164,0.3769441498762814,0.384632378932485,0.3582096147048427,0.3749558147755391,0.36072817249911626,0.3665606221279604,0.3679303640862496
DT_0.1,FN,g0,0.5243251726302574,0.542843691148776,0.5436283741368487,0.5775266792215945,0.5674827369742623,0.5605775266792217,0.5605775266792217,0.5597928436911488,0.5605775266792217,0.5944758317639673,0.5597928436911488,0.542843691148776,0.5775266792215945,0.5860012554927809,0.5952605147520402,0.5860012554927809,0.5867859384808538,0.6129943502824858,0.6037350910232266,0.596045197740113,0.6037350910232266,0.5860012554927809,0.5952605147520402,0.5936911487758946,0.6037350910232266,0.5860012554927809,0.5590081607030759,0.5944758317639673,0.5767419962335216,0.5767419962335216,0.5674827369742623
DT_0.1,FN,g1,0.26102375130190647,0.24292442150070187,0.2715578725716614,0.29182515962505096,0.2999790562876421,0.29623182991441377,0.2838127745324458,0.27523434315989675,0.2690361363945116,0.28093725943033104,0.27523434315989675,0.27551736629986867,0.2814325499252819,0.2765305891409682,0.2836005071774668,0.2837420187474528,0.28395428610243173,0.2825165285513744,0.2728541185527329,0.2850382647285242,0.27415036453380426,0.2624615088529638,0.2765305891409682,0.2841665534574107,0.29217893855001587,0.2781098582620115,0.28034857129918944,0.27443338767377623,0.2870647104107232,0.2850382647285242,0.2907411809989585
