clf,metric,group,base,iter_0,iter_1,iter_2,iter_3,iter_4
GB_base,FP,g0,0.6313177259289361,0.6139526925343503,0.6156270939642988,0.6252195670133901,0.6199160605717295,0.624755915785492
GB_base,FP,g1,0.7541781444920407,0.711940696961031,0.7283540936301416,0.7168073737362501,0.7390137451366916,0.7255986942449957
GB_base,FN,g0,0.1548677451685339,0.16432710026358083,0.16314248621067792,0.16616276006569514,0.16198830018546956,0.1668314763627011
GB_base,FN,g1,0.0872510460455944,0.11223636269408237,0.09870311750594565,0.11060128014742601,0.10224590105325673,0.1028003088006143
GB_base,roc,g0,0.6818028847475502,0.682463911938893,0.6813482205742145,0.68048694891235,0.6791027320872243,0.6805022623110208
GB_base,roc,g1,0.681530691458946,0.6766883856390734,0.6807955176389036,0.6768283170178128,0.6775652610409365,0.6785908370715051
LG_base,FP,g0,0.7001445394795616,0.6545120906245773,0.6472212084531336,0.6532267270773606,0.6461294068879436,0.654330075435199
LG_base,FP,g1,0.8933635400835309,0.866398775202083,0.869006862527209,0.8696964245037455,0.8677947735158187,0.8695965753176204
LG_base,FN,g0,0.14977253069858448,0.18402234119830868,0.19490018150258323,0.18402160537904816,0.19271407718357927,0.18343322950328597
LG_base,FN,g1,0.04369202942397614,0.05616712868664099,0.05494608523896658,0.05493668361533788,0.05559553849580273,0.05461922329787755
LG_base,roc,g0,0.6353083524312307,0.6340554518148549,0.6352553822822632,0.6344444281269708,0.6349924685469381,0.6344742403207764
LG_base,roc,g1,0.6366231735071157,0.6328645109113558,0.6337108936872916,0.6329799261410821,0.6338730633776892,0.6329595131187877
GB_equal,FP,g0,0.61862560073135,0.6156701746041751,0.6113537081319191,0.608630302385113,0.6147184677580924,0.617947684377383
GB_equal,FP,g1,0.7525862950502956,0.7179236834318223,0.7346097117757302,0.7125858059456601,0.7306891352754897,0.7136563722673875
GB_equal,FN,g0,0.1585058384960236,0.16041996004114994,0.16582202810233299,0.16591091856633022,0.16324370441222277,0.1682901747789722
GB_equal,FN,g1,0.08970610266986008,0.1060586775938962,0.09813601825664342,0.10854251763770324,0.09851348397929142,0.11373379117019844
