clf,metric,group,base,iter_0,iter_1,iter_2,iter_3,iter_4
GB_base,FP,g0,0.07548382030321063,0.0784688949300763,0.07548382030321063,0.0782235463306079,0.07548382030321063,0.07548382030321063
GB_base,FP,g1,0.3169474310542848,0.3189781148874511,0.31141065176952926,0.3170733529826892,0.3151685910779273,0.3170356455920406
GB_base,FN,g0,0.520105553739421,0.5659992735461843,0.5659992735461843,0.5312166648505322,0.5573036213722713,0.5659992735461843
GB_base,FN,g1,0.1580163462749594,0.16059964002951704,0.15951410434093402,0.1583884724213967,0.159355143804615,0.16075860056583607
GB_base,roc,g0,0.7652035694486073,0.7601047963041955,0.7609776723951059,0.7583739785318465,0.760992783372072,0.7605676591675603
GB_base,roc,g1,0.8546363634992609,0.8540697115568625,0.8543798581435921,0.8537993060152951,0.8545858302287167,0.8537313553749641
LG_base,FP,g0,0.06795930586868186,0.08712412803129063,0.07010542459014305,0.06740959671902322,0.06971326772739796,0.06816738632645887
LG_base,FP,g1,0.32073756249147506,0.36304671762847696,0.3209139915669867,0.31731239708303927,0.32468029272400567,0.31897703753343254
LG_base,FN,g0,0.5590813991500492,0.49960313828048386,0.5616077149395228,0.5261294540699575,0.5423857469761361,0.5655286041189932
LG_base,FN,g1,0.14657565757639895,0.12875510653876848,0.15642762920153186,0.16158872044923095,0.14683262650308088,0.14976547764673226
LG_base,roc,g0,0.7815583778455923,0.7731637404779046,0.7802104368889535,0.7761634320307602,0.7766851803624477,0.7809311637310554
LG_base,roc,g1,0.8618083963137076,0.8546291810700406,0.8601962854753464,0.8536009636688583,0.8582253571110942,0.8578324637427954
GB_equal,FP,g0,0.0727507242903994,0.07528236986001965,0.07279462244667685,0.074934111153552,0.07250537569093099,0.06946128911334351
GB_equal,FP,g1,0.28230675332941935,0.2863725589035897,0.28799328482275055,0.2844494819805128,0.2862466369751853,0.2880814993605064
GB_equal,FN,g0,0.5788881624350732,0.5819992735461843,0.600525589335658,0.600525589335658,0.5819992735461843,0.6066949257200974
GB_equal,FN,g1,0.17631826949585797,0.18349926439984088,0.17496533692309213,0.1808884701918549,0.18098354112940063,0.17846781785896038
GB_equal,roc,g0,0.7583940473001303,0.759250694930037,0.7543023590547507,0.7502498916933572,0.7575698257390588,0.7584166299822487
GB_equal,roc,g1,0.8551875181522407,0.8529845743873649,0.8526567515319672,0.853817665681224,0.8525529128446641,0.8536007926750993
LG_equal,FP,g0,0.002531645569620253,0.03990868391850761,0.002531645569620253,0.0,0.0,0.0
